title,audience_score,type,genre,runtime,year,mpaa_rating,studio,imdb_num_votes,critics_score,critics_rating,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,audience_rating,director,actor1,actor2,actor3,actor4,actor5,imdb_url,rt_url,imdb_id
The Rocketeer,65,Feature Film,Drama,108,1991,PG,Walt Disney Productions,42050,61,Fresh,no,no,no,no,no,no,Upright,Joe Johnston,Billy Campbell,William Campbell,Jennifer Connelly,Alan Arkin,Timothy Dalton,http://www.imdb.com/title/tt0102803/,http://www.rottentomatoes.com/m/rocketeer/,102803
Somersault,71,Feature Film,Drama,106,2004,Unrated,Magnolia Pictures,6099,83,Certified Fresh,no,no,no,no,no,no,Upright,Cate Shortland,Abbie Cornish,Sam Worthington,Lynette Curran,Nathaniel Dean,Erik Thomson,http://www.imdb.com/title/tt0381429/,http://www.rottentomatoes.com/m/somersault/,381429
Trading Places,85,Feature Film,Comedy,116,1983,R,Paramount Pictures,95752,88,Certified Fresh,no,no,no,no,no,no,Upright,John Landis,Dan Aykroyd,Eddie Murphy,Ralph Bellamy,Don Ameche,Jamie Lee Curtis,http://www.imdb.com/title/tt0086465/,http://www.rottentomatoes.com/m/trading_places/,86465
The Nine Lives of Fritz the Cat,40,Feature Film,Comedy,77,1974,R,American International Pictures,1904,43,Rotten,no,no,no,no,no,no,Spilled,Robert Taylor (III),Pat Harrington Jr.,Bob Holt,Robert Ridgely,Reva Rose,Fred Smoot,http://www.imdb.com/title/tt0071913/,http://www.rottentomatoes.com/m/nine_lives_of_fritz_the_cat/,71913
Day of the Dead,75,Feature Film,Horror,96,1985,Unrated,United Film Distribution Compa,47080,82,Fresh,no,no,no,no,no,no,Upright,George A. Romero,Lori Cardille,Terry Alexander,Joseph Pilato,Jarlath Conroy,Jarleth Conroy,http://www.imdb.com/title/tt0088993/,http://www.rottentomatoes.com/m/1005360-day_of_the_dead/,88993
Everyone's Hero,44,Feature Film,Action & Adventure,88,2006,G,20th Century Fox,5918,41,Rotten,no,no,no,no,no,no,Spilled,Christopher Reeve,Jake T. Austin,Raven,Whoopi Goldberg,Rob Reiner,William H. Macy,http://www.imdb.com/title/tt0430779/,http://www.rottentomatoes.com/m/everyones_hero/,430779
Walk the Line,90,Feature Film,Drama,136,2005,PG-13,20th Century Fox,180516,82,Certified Fresh,no,no,no,yes,no,no,Upright,James Mangold,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,Robert Patrick,Dallas Roberts,http://www.imdb.com/title/tt0358273/,http://www.rottentomatoes.com/m/walk_the_line/,358273
Clerks II,84,Feature Film,Drama,97,2006,R,MGM,110624,63,Fresh,no,no,no,no,no,no,Upright,Kevin Smith,Brian O'Halloran,Jeff Anderson,Rosario Dawson,Jason Mewes,Kevin Smith,http://www.imdb.com/title/tt0424345/,http://www.rottentomatoes.com/m/clerks_2/,424345
Headhunters,85,Feature Film,Action & Adventure,100,2011,R,Magnolia Pictures,73941,92,Certified Fresh,no,no,no,no,no,no,Upright,Morten Tyldum,Nikolaj Coster-Waldau,Aksel Hennie,Eivind Sander,Julie R Olgaard,Synnove Macody Lund,http://www.imdb.com/title/tt1614989/,http://www.rottentomatoes.com/m/headhunters/,1614989
Red Rock West,74,Feature Film,Mystery & Suspense,98,1993,R,Sony Pictures Home Entertainment,14892,95,Fresh,no,no,yes,no,no,no,Upright,John Dahl,Nicolas Cage,Dennis Hopper,Lara Flynn Boyle,J.T. Walsh,Timothy Carhart,http://www.imdb.com/title/tt0105226/,http://www.rottentomatoes.com/m/red_rock_west/,105226
Night and the City,31,Feature Film,Drama,105,1992,R,Twentieth Century Fox Home Entertainment,3627,67,Fresh,no,no,yes,yes,no,no,Spilled,Irwin Winkler,Robert De Niro,Jessica Lange,Cliff Gorman,Alan King,Eli Wallach,http://www.imdb.com/title/tt0105001/,http://www.rottentomatoes.com/m/1040890-night_and_the_city/,105001
The Legend of Bagger Vance,65,Feature Film,Drama,126,2000,PG-13,DreamWorks SKG,43275,43,Rotten,no,no,no,yes,yes,no,Upright,Robert Redford,Matt Damon,Will Smith,Charlize Theron,Bruce McGill,Joel Gretsch,http://www.imdb.com/title/tt0146984/,http://www.rottentomatoes.com/m/legend_of_bagger_vance/,146984
Saint Jack,74,Feature Film,Drama,112,1979,R,New Concorde Home Entertainment,872,62,Fresh,no,no,no,no,no,no,Upright,Peter Bogdanovich,Ben Gazzara,Denholm Elliott,James Villiers,Joss Ackland,Rodney Bewes,http://www.imdb.com/title/tt0079843/,http://www.rottentomatoes.com/m/saint_jack/,79843
Dreamer: Inspired by a True Story,78,Feature Film,Drama,106,2005,PG,Dreamworks,9623,64,Fresh,no,no,no,no,no,no,Upright,John Gatins,Kurt Russell,Dakota Fanning,Kris Kristofferson,Elisabeth Shue,Luis Guzman,http://www.imdb.com/title/tt0418647/,http://www.rottentomatoes.com/m/dreamer/,418647
Cruel Intentions,81,Feature Film,Drama,97,1999,R,Columbia Pictures,142231,49,Rotten,no,no,no,yes,no,no,Upright,Roger Kumble,Ryan Phillippe,Sarah Michelle Gellar,Reese Witherspoon,Selma Blair,Louise Fletcher,http://www.imdb.com/title/tt0139134/,http://www.rottentomatoes.com/m/cruel_intentions/,139134
Tormented,33,Feature Film,Horror,91,2009,R,Pathe Distribution,5255,70,Fresh,no,no,no,no,no,no,Spilled,Jon Wright,Alex Pettyfer,April Pearson,Chris Wilson,Dimitri Leonidas,Calvin Dean,http://www.imdb.com/title/tt1100053/,http://www.rottentomatoes.com/m/10011243-tormented/,1100053
Dead Man Walking,86,Feature Film,Mystery & Suspense,122,1995,R,Gramercy Pictures,70319,95,Certified Fresh,no,no,yes,yes,no,no,Upright,Tim Robbins,Susan Sarandon,Sean Penn,Robert Prosky,Raymond J. Barry,R. Lee Ermey,http://www.imdb.com/title/tt0112818/,http://www.rottentomatoes.com/m/1068779-dead_man_walking/,112818
Your Friends & Neighbors,63,Feature Film,Drama,100,1998,R,Gramercy,6945,77,Certified Fresh,no,no,no,no,no,no,Upright,Neil LaBute,Amy Brenneman,Aaron Eckhart,Catherine Keener,Nastassja Kinski,Jason Patric,http://www.imdb.com/title/tt0119517/,http://www.rottentomatoes.com/m/your_friends_and_neighbors/,119517
Cleanskin,66,Feature Film,Mystery & Suspense,108,2012,Unrated,Warner Bros. Pictures,16940,53,Rotten,no,no,no,no,no,no,Upright,Hadi Hajaig,Sean Bean,Abhin Galeya,Charlotte Rampling,Peter Polycarpou,Tuppence Middleton,http://www.imdb.com/title/tt1598873/,http://www.rottentomatoes.com/m/cleanskin/,1598873
Time Bandits,77,Feature Film,Action & Adventure,116,1981,PG,Paramount Home Video,43338,91,Certified Fresh,no,no,no,no,no,no,Upright,Terry Gilliam,John Cleese,Sean Connery,Shelley Duvall,Katherine Helmond,Ian Holm,http://www.imdb.com/title/tt0081633/,http://www.rottentomatoes.com/m/time_bandits/,81633
Frozen River,74,Feature Film,Drama,97,2008,R,Sony Pictures Classics,21158,88,Certified Fresh,no,no,no,no,no,no,Upright,Courtney Hunt,Melissa Leo,Misty Upham,Charlie McDermott,Michael O'Keefe,James Reilly,http://www.imdb.com/title/tt0978759/,http://www.rottentomatoes.com/m/frozen_river/,978759
Gypsy,76,TV Movie,Other,153,1993,Unrated,Cabin Fever Entertainment,1213,40,Rotten,no,no,no,no,no,no,Upright,Emile Ardolino,Bette Midler,Peter Riegert,Cynthia Gibb,Jennifer Rae Beck,Edward Asner,http://www.imdb.com/title/tt0107065/,http://www.rottentomatoes.com/m/1045328-gypsy/,107065
Shottas,91,Feature Film,Drama,95,2002,R,Sony Pictures,3223,19,Rotten,no,no,no,no,no,no,Upright,Cess Silvera,Ky-Mani Marley,Paul Campbell,Spragga Benz,Tyson Beckford,Wyclef Jean,http://www.imdb.com/title/tt0281190/,http://www.rottentomatoes.com/m/shottas/,281190
Islands in the Stream,67,Feature Film,Drama,104,1977,PG,Paramount Pictures,964,80,Fresh,no,no,yes,no,yes,no,Upright,Franklin J. Schaffner,George C. Scott,Claire Bloom,David Hemmings,Gilbert Roland,Susan Tyrrell,http://www.imdb.com/title/tt0076211/,http://www.rottentomatoes.com/m/1010762-islands_in_the_stream/,76211
Kill Bill: Vol. 2,89,Feature Film,Drama,137,2004,R,Miramax Films,473208,84,Certified Fresh,no,no,no,no,no,no,Upright,Quentin Tarantino,Uma Thurman,David Carradine,Michael Madsen,Daryl Hannah,Gordon Liu,http://www.imdb.com/title/tt0378194/,http://www.rottentomatoes.com/m/kill_bill_volume_2/,378194
A Far Off Place,70,Feature Film,Action & Adventure,100,1993,PG,Buena Vista Pictures,2714,40,Rotten,no,no,yes,yes,no,no,Upright,Mikael Salomon,Reese Witherspoon,Sarel Bok,Jack Thompson,Maximilian Schell,Robert John Burke,http://www.imdb.com/title/tt0106868/,http://www.rottentomatoes.com/m/far_off_place/,106868
The Flamingo Kid,55,Feature Film,Drama,100,1984,PG-13,Live Home Video,3807,88,Fresh,no,no,no,no,no,no,Spilled,Garry Marshall,Matt Dillon,Richard Crenna,Hector Elizondo,Molly McCarthy,Martha Gehman,http://www.imdb.com/title/tt0087265/,http://www.rottentomatoes.com/m/flamingo_kid/,87265
Brannigan,40,Feature Film,Drama,111,1975,R,MGM Home Entertainment,3591,17,Rotten,no,no,yes,no,no,no,Spilled,Douglas Hickox,John Wayne,Richard Attenborough,Judy Geeson,Mel Ferrer,Del Henney,http://www.imdb.com/title/tt0072732/,http://www.rottentomatoes.com/m/brannigan/,72732
Unforgiven,94,Feature Film,Other,131,1992,R,Warner Bros. Pictures,256631,95,Certified Fresh,yes,yes,yes,no,yes,no,Upright,Clint Eastwood,Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris,Saul Rubinek,http://www.imdb.com/title/tt0105695/,http://www.rottentomatoes.com/m/1041911-unforgiven/,105695
